,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,,Flag
23,2017/9/24,良,100,347,59,146,4,54,0.97,84,,0
24,2017/9/25,轻度污染,103,345,75,129,7,45,1.44,79,,1
25,2017/9/26,良,74,312,48,67,2,40,0.71,35,,0
26,2017/9/27,良,53,238,26,58,3,47,0.92,14,,0
27,2017/9/28,优,33,55,9,33,2,27,0.32,41,,0
28,2017/9/29,良,74,288,40,95,3,67,0.72,34,,0
29,2017/9/30,轻度污染,144,361,107,155,4,66,1.11,56,,1
0,2017/10/1,轻度污染,111,352,73,91,1,47,0.75,52,,1
1,2017/10/2,优,42,159,12,44,3,32,0.5,24,,0
2,2017/10/3,优,34,109,15,33,1,32,0.43,23,,0
3,2017/10/5,良,74,346,53,77,4,38,0.72,45,,0
4,2017/10/6,良,91,353,67,89,5,47,0.78,43,,0
5,2017/10/7,轻度污染,146,361,109,131,2,71,1.11,11,,1
6,2017/10/8,中度污染,168,363,126,91,2,67,1.26,5,,1
7,2017/10/9,优,45,179,29,10,2,29,0.64,20,,0
8,2017/10/10,优,19,6,5,8,2,18,0.33,31,,0
9,2017/10/11,优,22,15,10,20,2,26,0.41,22,,0
10,2017/10/12,优,35,141,19,35,2,37,0.49,22,,0
11,2017/10/13,良,53,234,35,53,1,45,0.75,22,,0
12,2017/10/14,优,34,82,14,32,3,41,0.61,18,,0
13,2017/10/15,良,64,266,46,52,2,38,1.01,21,,0
14,2017/10/16,良,56,237,38,51,3,39,0.92,29,,0
15,2017/10/17,良,92,319,68,80,2,46,1.19,25,,0
16,2017/10/18,良,90,326,67,22,2,44,1.18,17,,0
17,2017/10/19,良,74,261,53,20,1,36,1.16,24,,0
18,2017/10/20,轻度污染,123,325,93,47,2,44,1.36,25,,1
19,2017/10/21,轻度污染,103,308,75,57,2,36,1.31,36,,1
20,2017/10/22,良,54,115,37,47,3,41,0.89,16,,0
21,2017/10/23,优,49,91,34,43,2,36,0.66,24,,0
22,2017/10/24,良,90,263,66,76,2,44,0.91,30,,0
23,2017/10/25,轻度污染,141,350,106,58,2,52,1.27,16,,1
24,2017/10/26,中度污染,195,360,149,17,2,65,1.56,11,,1
25,2017/10/27,重度污染,217,352,166,0,2,65,1.54,20,,1
26,2017/10/28,良,78,172,47,48,1,26,0.66,38,,0
27,2017/10/29,优,27,4,7,21,2,24,0.34,39,,0
28,2017/10/30,优,40,31,17,41,3,44,0.53,24,,0
29,2017/10/31,良,83,229,56,98,4,69,0.94,7,,0
0,2017/11/1,良,88,193,63,99,2,76,1.01,12,,0
1,2017/11/2,良,75,113,50,84,5,55,0.91,27,,0
2,2017/11/3,优,28,4,7,27,2,27,0.34,39,,0
3,2017/11/4,良,56,102,33,60,3,51,0.73,22,,0
4,2017/11/5,轻度污染,131,329,98,118,5,67,1.23,17,,1
5,2017/11/6,中度污染,200,356,151,136,4,67,1.48,25,,1
6,2017/11/7,轻度污染,129,265,86,74,2,43,0.93,35,,1
7,2017/11/8,优,41,53,18,42,5,48,0.79,19,,0
8,2017/11/9,良,75,179,50,89,5,61,1.34,8,,0
9,2017/11/10,优,40,28,9,39,2,15,0.31,49,,0
10,2017/11/11,优,35,38,16,34,3,34,0.42,24,,0
11,2017/11/12,良,75,253,53,89,5,61,0.97,7,,0
12,2017/11/13,良,63,165,26,71,2,30,0.62,38,,0
13,2017/11/14,优,30,10,9,27,2,23,0.44,39,,0
14,2017/11/15,优,38,54,14,36,2,35,0.51,35,,0
15,2017/11/16,良,76,213,55,83,9,69,1.29,10,,0
16,2017/11/17,良,57,154,24,59,4,32,0.67,40,,0
17,2017/11/18,良,54,224,34,54,5,31,0.58,38,,0
18,2017/11/19,轻度污染,115,346,86,114,8,69,1.27,8,,1
19,2017/11/20,轻度污染,135,342,101,128,10,83,1.82,11,,1
20,2017/11/21,中度污染,166,354,119,161,11,85,1.83,20,,1
21,2017/11/22,优,35,45,7,33,2,16,0.33,52,,0
22,2017/11/23,优,31,16,6,28,2,19,0.37,43,,0
23,2017/11/24,优,40,49,18,44,5,31,0.53,33,,0
24,2017/11/25,良,63,128,39,74,7,57,0.97,16,,0
25,2017/11/26,优,36,27,10,27,2,22,0.39,49,,0
26,2017/11/27,良,91,236,67,92,9,69,1.37,8,,0
27,2017/11/28,良,75,127,39,78,4,39,0.86,36,,0
28,2017/11/29,优,34,15,12,32,3,32,0.48,33,,0
29,2017/11/30,优,45,116,22,46,6,41,0.68,28,,0
0,2017/12/1,良,91,280,67,99,10,66,1.26,12,,0
1,2017/12/2,中度污染,187,344,144,177,15,103,2.24,5,,1
2,2017/12/3,良,79,191,52,72,6,41,0.92,40,,0
3,2017/12/4,优,28,2,5,21,1,15,0.34,53,,0
4,2017/12/5,优,44,34,22,46,5,43,0.72,27,,0
5,2017/12/6,优,49,30,23,53,6,41,0.78,32,,0
6,2017/12/7,优,27,2,8,25,4,19,0.42,39,,0
7,2017/12/8,优,41,23,20,43,5,40,0.73,23,,0
8,2017/12/9,良,56,41,33,62,8,58,1.04,16,,0
9,2017/12/10,优,43,19,6,45,2,13,0.28,61,,0
10,2017/12/11,优,28,6,5,20,2,15,0.32,54,,0
11,2017/12/12,优,28,7,12,25,3,30,0.55,27,,0
12,2017/12/13,优,49,82,31,49,6,50,0.87,10,,0
13,2017/12/14,良,94,249,70,85,18,68,1.76,6,,0
14,2017/12/15,良,62,179,35,57,6,34,0.85,37,,0
15,2017/12/16,优,40,69,7,39,1,10,0.32,58,,0
16,2017/12/17,优,46,54,24,48,5,48,0.76,30,,0
17,2017/12/18,优,48,32,13,49,3,21,0.44,47,,0
18,2017/12/19,良,55,102,34,66,8,47,0.74,20,,0
19,2017/12/20,优,44,18,21,44,4,40,0.65,36,,0
20,2017/12/21,良,74,126,51,77,12,77,1.33,9,,0
21,2017/12/22,良,62,50,36,63,9,55,1.07,29,,0
22,2017/12/23,优,50,20,30,55,10,60,1.02,13,,0
23,2017/12/24,优,50,33,14,50,3,17,0.42,59,,0
24,2017/12/25,优,46,33,28,46,8,44,0.69,28,,0
25,2017/12/26,优,41,32,22,42,6,45,0.73,31,,0
26,2017/12/27,轻度污染,101,176,75,91,10,69,1.45,7,,1
27,2017/12/28,轻度污染,140,240,105,120,11,68,1.86,10,,1
28,2017/12/29,重度污染,221,292,172,194,6,85,2.9,6,,1
29,2017/12/30,中度污染,157,254,116,129,4,62,2.03,22,,1
30,2017/12/31,良,55,40,29,62,5,47,0.83,21,,0
0,2018/1/1,良,55,42,35,65,11,46,1.23,23,,0
1,2018/1/2,优,46,44,27,48,6,35,0.94,28,,0
2,2018/1/3,优,29,21,10,26,4,20,0.44,44,,0
3,2018/1/4,优,28,56,14,27,4,31,0.51,32,,0
4,2018/1/5,良,51,127,30,52,8,51,0.95,20,,0
5,2018/1/6,优,29,44,14,27,5,38,0.57,35,,0
6,2018/1/7,良,56,170,37,57,10,46,0.92,27,,0
7,2018/1/8,良,51,111,12,56,3,10,0.34,60,,0
8,2018/1/9,优,37,28,6,32,2,12,0.35,58,,0
9,2018/1/10,优,32,14,5,20,2,8,0.3,62,,0
10,2018/1/11,优,30,5,10,21,4,22,0.47,46,,0
